Date,Price,Open,High,Low,Return
18/06/2018,7.877,7.832,7.882,7.818,-0.0015
19/06/2018,7.863,7.921,7.921,7.855,-0.0018
20/06/2018,7.827,7.805,7.85,7.804,-0.0046
21/06/2018,7.772,7.798,7.812,7.769,-0.007
22/06/2018,7.819,7.789,7.841,7.771,0.006
25/06/2018,7.824,7.814,7.859,7.805,0.0006
26/06/2018,7.829,7.839,7.849,7.807,0.0006
27/06/2018,7.871,7.87,7.878,7.857,0.0054
28/06/2018,7.935,7.904,7.942,7.9,0.0081
29/06/2018,7.903,7.922,7.922,7.869,-0.004
02/07/2018,7.912,7.889,7.917,7.867,0.0011
03/07/2018,7.883,7.905,7.906,7.877,-0.0037
04/07/2018,7.852,7.878,7.916,7.836,-0.0039
05/07/2018,7.897,7.849,7.9,7.841,0.0057
06/07/2018,7.87,7.89,7.901,7.869,-0.0034
09/07/2018,7.89,7.871,7.892,7.866,0.0025
10/07/2018,7.9,7.907,7.912,7.893,0.0013
11/07/2018,7.872,7.897,7.914,7.864,-0.0035
12/07/2018,7.78,7.826,7.842,7.778,-0.0117
13/07/2018,7.791,7.791,7.802,7.77,0.0014
16/07/2018,7.8,7.82,7.848,7.797,0.0012
17/07/2018,7.746,7.763,7.764,7.729,-0.0069
18/07/2018,7.752,7.725,7.759,7.723,0.0008
19/07/2018,7.785,7.782,7.785,7.764,0.0043
20/07/2018,7.785,7.787,7.797,7.772,0
23/07/2018,7.81,7.788,7.819,7.774,0.0032
24/07/2018,7.784,7.806,7.815,7.778,-0.0033
25/07/2018,7.785,7.807,7.811,7.782,0.0001
26/07/2018,7.759,7.806,7.806,7.756,-0.0033
27/07/2018,7.78,7.766,7.788,7.762,0.0027
30/07/2018,7.79,7.78,7.799,7.776,0.0013
31/07/2018,7.772,7.797,7.797,7.769,-0.0023
01/08/2018,7.701,7.767,7.841,7.701,-0.0091
02/08/2018,7.721,7.698,7.732,7.681,0.0026
03/08/2018,7.763,7.742,7.771,7.739,0.0054
06/08/2018,7.768,7.754,7.773,7.747,0.0006
07/08/2018,7.786,7.772,7.787,7.757,0.0023
08/08/2018,7.782,7.792,7.793,7.776,-0.0005
09/08/2018,7.745,7.754,7.762,7.74,-0.0048
10/08/2018,7.754,7.743,7.759,7.737,0.0012
13/08/2018,7.823,7.807,7.825,7.789,0.0089
14/08/2018,7.818,7.8,7.824,7.795,-0.0006
16/08/2018,7.861,7.849,7.876,7.839,0.0055
20/08/2018,7.838,7.836,7.842,7.826,-0.0029
21/08/2018,7.827,7.834,7.834,7.814,-0.0014
23/08/2018,7.879,7.878,7.879,7.861,0.0066
24/08/2018,7.871,7.895,7.9,7.871,-0.001
27/08/2018,7.894,7.865,7.898,7.86,0.0029
28/08/2018,7.895,7.892,7.921,7.892,0.0001
29/08/2018,7.918,7.914,7.92,7.895,0.0029
30/08/2018,7.93,7.93,7.941,7.914,0.0015
31/08/2018,7.951,7.951,7.958,7.937,0.0026
03/09/2018,7.999,7.94,8,7.917,0.006
04/09/2018,8.062,8.006,8.069,7.986,0.0079
05/09/2018,8.049,8.043,8.11,8.033,-0.0016
06/09/2018,8.056,8.038,8.085,8.033,0.0009
07/09/2018,8.031,8.05,8.05,8.011,-0.0031
10/09/2018,8.158,8.069,8.158,8.069,0.0158
11/09/2018,8.182,8.155,8.189,8.134,0.0029
12/09/2018,8.134,8.218,8.231,8.121,-0.0059
14/09/2018,8.127,8.093,8.131,8.091,-0.0009
16/09/2018,8.124,8.143,8.148,8.121,-0.0004
17/09/2018,8.098,8.164,8.184,8.09,-0.0032
18/09/2018,8.14,8.106,8.143,8.043,0.0052
19/09/2018,8.074,8.124,8.134,8.067,-0.0081
21/09/2018,8.076,8.031,8.135,8.017,0.0002
24/09/2018,8.122,8.094,8.13,8.074,0.0057
25/09/2018,8.125,8.131,8.141,8.113,0.0004
26/09/2018,8.072,8.124,8.124,8.063,-0.0065
27/09/2018,8.027,8.043,8.073,8.024,-0.0056
28/09/2018,8.024,8.042,8.053,8.015,-0.0004
01/10/2018,7.988,7.923,7.997,7.923,-0.0045
03/10/2018,8.112,8.057,8.115,8.031,0.0155
04/10/2018,8.158,8.193,8.21,8.155,0.0057
05/10/2018,8.024,8.158,8.165,8.024,-0.0164
08/10/2018,7.974,7.989,8.017,7.968,-0.0062
09/10/2018,8.076,7.989,8.092,7.989,0.0128
10/10/2018,8.031,8.049,8.071,8.027,-0.0056
11/10/2018,7.986,8.001,8.023,7.978,-0.0056
12/10/2018,7.984,7.971,8.008,7.963,-0.0003
15/10/2018,7.921,7.962,7.983,7.921,-0.0079
16/10/2018,7.872,7.946,7.954,7.87,-0.0062
17/10/2018,7.909,7.885,7.926,7.863,0.0047
