Data,Amada,Hokuetsu,Mitsubishi,Secom,Tokyu,,Amada,Hokuetsu,Mitsubishi,Secom,Tokyu
09/05/2018,1302,654,784,8338,848,,NA,NA,NA,NA,NA
10/05/2018,1304,626,858,8417,849,,0.153609831,-4.281345566,9.43877551,0.947469417,0.117924528
11/05/2018,1322,655,859,8290,860,,1.380368098,4.632587859,0.116550117,-1.508851135,1.295641932
14/05/2018,1331,661,870,8256,840,,0.680786687,0.916030534,1.280558789,-0.41013269,-2.325581395
15/05/2018,1327,628,873,8195,827,,-0.30052592,-4.992435703,0.344827586,-0.738856589,-1.547619048
16/05/2018,1318,625,871,8135,823,,-0.678221552,-0.477707006,-0.229095074,-0.732153752,-0.483675937
17/05/2018,1304,632,882,8074,818,,-1.062215478,1.12,1.262916188,-0.749846343,-0.607533414
18/05/2018,1306,630,880,8148,820,,0.153374233,-0.316455696,-0.22675737,0.91652217,0.244498778
21/05/2018,1302,618,893,8150,808,,-0.306278714,-1.904761905,1.477272727,0.024545901,-1.463414634
22/05/2018,1291,609,898,8158,807,,-0.844854071,-1.45631068,0.559910414,0.098159509,-0.123762376
23/05/2018,1270,600,887,8076,802,,-1.626646011,-1.477832512,-1.224944321,-1.005148321,-0.619578686
24/05/2018,1231,589,853,8120,776,,-3.070866142,-1.833333333,-3.833145434,0.54482417,-3.241895262
25/05/2018,1214,590,838,8146,772,,-1.380991064,0.169779287,-1.758499414,0.320197044,-0.515463918
28/05/2018,1211,612,843,8144,788,,-0.247116969,3.728813559,0.596658711,-0.024551927,2.07253886
29/05/2018,1215,603,832,8206,799,,0.330305533,-1.470588235,-1.304863582,0.76129666,1.395939086
30/05/2018,1180,602,813,8142,793,,-2.880658436,-0.165837479,-2.283653846,-0.779917134,-0.750938673
31/05/2018,1184,590,824,8119,804,,0.338983051,-1.993355482,1.35301353,-0.282485876,1.387137453
01/06/2018,1176,592,829,8130,789,,-0.675675676,0.338983051,0.606796117,0.135484666,-1.865671642
04/06/2018,1196,595,860,8157,800,,1.700680272,0.506756757,3.739445115,0.332103321,1.394169835
05/06/2018,1190,600,866,8152,793,,-0.501672241,0.840336134,0.697674419,-0.061297045,-0.875
06/06/2018,1180,607,862,8203,807,,-0.840336134,1.166666667,-0.461893764,0.625613346,1.765447667
07/06/2018,1178,615,870,8197,817,,-0.169491525,1.317957166,0.928074246,-0.073143972,1.239157373
08/06/2018,1169,596,872,8256,809,,-0.764006791,-3.089430894,0.229885057,0.719775528,-0.979192166
11/06/2018,1171,595,877,8262,809,,0.171086399,-0.167785235,0.573394495,0.072674419,0
12/06/2018,1154,601,872,8340,806,,-1.45175064,1.008403361,-0.570125428,0.944081336,-0.370828183
13/06/2018,1156,604,888,8349,819,,0.173310225,0.499168053,1.834862385,0.107913669,1.612903226
14/06/2018,1143,594,884,8234,796,,-1.124567474,-1.655629139,-0.45045045,-1.377410468,-2.808302808
15/06/2018,1132,591,882,8270,801,,-0.962379703,-0.505050505,-0.226244344,0.437211562,0.628140704
18/06/2018,1107,582,872,8251,800,,-2.208480565,-1.52284264,-1.133786848,-0.22974607,-0.124843945
19/06/2018,1068,570,874,8195,793,,-3.52303523,-2.06185567,0.229357798,-0.678705611,-0.875
20/06/2018,1079,559,884,8354,801,,1.029962547,-1.929824561,1.14416476,1.940207444,1.008827238
21/06/2018,1080,557,877,8427,796,,0.092678406,-0.357781753,-0.791855204,0.873832894,-0.624219725
22/06/2018,1070,557,891,8365,789,,-0.925925926,0,1.596351197,-0.73573039,-0.879396985
