Date,Open,High,Low,Close,Adj Close,Volume
2018-05-09,22463.009766,22478.640625,22364.750000,22408.880859,22408.880859,86000
2018-05-10,22482.509766,22530.640625,22418.750000,22497.179688,22497.179688,73300
2018-05-11,22573.949219,22769.160156,22545.470703,22758.480469,22758.480469,80200
2018-05-14,22705.300781,22894.759766,22683.640625,22865.859375,22865.859375,68900
2018-05-15,22889.470703,22912.060547,22805.720703,22818.019531,22818.019531,86400
2018-05-16,22730.119141,22796.140625,22695.839844,22717.230469,22717.230469,80200
2018-05-17,22820.619141,22887.029297,22799.160156,22838.369141,22838.369141,75600
2018-05-18,22907.199219,22954.189453,22867.300781,22930.359375,22930.359375,65300
2018-05-21,22937.580078,23050.390625,22935.310547,23002.369141,23002.369141,59100
2018-05-22,23025.949219,23031.669922,22952.869141,22960.339844,22960.339844,59400
2018-05-23,22868.789063,22949.730469,22649.849609,22689.740234,22689.740234,75000
2018-05-24,22621.289063,22644.689453,22366.599609,22437.009766,22437.009766,85600
2018-05-25,22380.220703,22509.359375,22318.150391,22450.789063,22450.789063,70400
2018-05-28,22488.949219,22547.669922,22410.910156,22481.089844,22481.089844,52900
2018-05-29,22431.949219,22439.099609,22240.390625,22358.429688,22358.429688,59800
2018-05-30,22051.970703,22079.230469,21931.650391,22018.519531,22018.519531,90500
2018-05-31,22163.400391,22254.419922,22098.000000,22201.820313,22201.820313,132400
2018-06-01,22126.250000,22316.910156,22098.039063,22171.349609,22171.349609,82500
2018-06-04,22365.089844,22515.720703,22355.830078,22475.939453,22475.939453,71900
2018-06-05,22552.169922,22602.130859,22470.039063,22539.539063,22539.539063,65800
2018-06-06,22520.310547,22662.820313,22498.589844,22625.730469,22625.730469,67900
2018-06-07,22748.720703,22856.369141,22732.179688,22823.259766,22823.259766,72200
2018-06-08,22799.380859,22879.000000,22694.500000,22694.500000,22694.500000,85200
2018-06-11,22686.949219,22856.080078,22667.300781,22804.039063,22804.039063,55700
2018-06-12,22977.220703,23011.570313,22797.730469,22878.349609,22878.349609,63900
2018-06-13,22896.169922,22993.259766,22895.310547,22966.380859,22966.380859,57000
2018-06-14,22842.960938,22898.390625,22738.609375,22738.609375,22738.609375,72100
2018-06-15,22883.240234,22885.839844,22770.380859,22851.750000,22851.750000,88500
2018-06-18,22806.570313,22806.890625,22601.130859,22680.330078,22680.330078,65000
2018-06-19,22565.919922,22618.519531,22278.480469,22278.480469,22278.480469,79400
2018-06-20,22338.529297,22581.400391,22167.160156,22555.429688,22555.429688,88900
2018-06-21,22523.279297,22782.009766,22491.080078,22693.039063,22693.039063,76000
2018-06-22,22456.449219,22535.650391,22414.179688,22516.830078,22516.830078,85900
2018-06-25,22543.560547,22556.550781,22312.789063,22338.150391,22338.150391,60600
2018-06-26,22160.330078,22368.779297,22104.119141,22342.000000,22342.000000,71300
2018-06-27,22320.880859,22356.539063,22205.339844,22271.769531,22271.769531,65800
2018-06-28,22195.189453,22299.390625,22038.400391,22270.390625,22270.390625,70000
2018-06-29,22314.470703,22332.820313,22145.480469,22304.509766,22304.509766,67900
2018-07-02,22233.800781,22312.250000,21784.480469,21811.929688,21811.929688,67100
2018-07-03,21889.060547,21927.810547,21574.560547,21785.539063,21785.539063,76500
2018-07-04,21679.000000,21784.000000,21604.179688,21717.039063,21717.039063,62200
2018-07-05,21697.439453,21751.500000,21462.949219,21546.990234,21546.990234,66700
2018-07-06,21647.660156,21866.160156,21642.960938,21788.140625,21788.140625,71600
2018-07-09,21838.529297,22105.949219,21825.759766,22052.179688,22052.179688,61200
2018-07-10,22215.339844,22321.599609,22196.890625,22196.890625,22196.890625,90700
2018-07-11,22002.140625,22044.619141,21744.250000,21932.210938,21932.210938,74900
2018-07-12,22036.869141,22233.519531,22019.189453,22187.960938,22187.960938,64400
2018-07-13,22397.619141,22692.859375,22316.519531,22597.349609,22597.349609,72600
2018-07-16,22397.619141,22692.859375,22316.519531,22597.349609,22597.349609,0
2018-07-17,22605.730469,22832.220703,22575.419922,22697.359375,22697.359375,75800
2018-07-18,22917.519531,22949.320313,22794.189453,22794.189453,22794.189453,56500
2018-07-19,22871.619141,22926.470703,22761.869141,22764.679688,22764.679688,62400
2018-07-20,22734.560547,22869.980469,22541.349609,22697.880859,22697.880859,69700
2018-07-23,22480.330078,22507.169922,22341.869141,22396.990234,22396.990234,88000
2018-07-24,22555.050781,22555.050781,22416.230469,22510.480469,22510.480469,70400
2018-07-25,22594.279297,22645.660156,22547.140625,22614.250000,22614.250000,58700
2018-07-26,22711.589844,22717.150391,22549.769531,22586.869141,22586.869141,69600
2018-07-27,22646.480469,22712.750000,22593.199219,22712.750000,22712.750000,73200
2018-07-30,22613.300781,22631.320313,22518.939453,22544.839844,22544.839844,76200
2018-07-31,22472.119141,22678.060547,22352.210938,22553.720703,22553.720703,115400
2018-08-01,22642.179688,22775.470703,22615.980469,22746.699219,22746.699219,100800
2018-08-02,22676.730469,22754.730469,22464.810547,22512.529297,22512.529297,94500
2018-08-03,22585.539063,22613.500000,22490.570313,22525.179688,22525.179688,71700
2018-08-06,22536.050781,22635.679688,22486.740234,22507.320313,22507.320313,67000
2018-08-07,22514.310547,22666.679688,22499.050781,22662.740234,22662.740234,69400
2018-08-08,22666.560547,22800.609375,22610.289063,22644.310547,22644.310547,72800
2018-08-09,22591.539063,22648.880859,22497.990234,22598.390625,22598.390625,61800
2018-08-10,22606.910156,22608.859375,22272.689453,22298.080078,22298.080078,73900
2018-08-13,22117.570313,22124.599609,21851.320313,21857.429688,21857.429688,77800
2018-08-14,22053.070313,22356.080078,22047.189453,22356.080078,22356.080078,59700
2018-08-15,22368.119141,22380.279297,22110.289063,22204.220703,22204.220703,61200
2018-08-16,21980.820313,22240.419922,21871.699219,22192.039063,22192.039063,77900
2018-08-17,22313.189453,22340.949219,22244.099609,22270.380859,22270.380859,56100
2018-08-20,22267.070313,22288.310547,22150.750000,22199.000000,22199.000000,46800
2018-08-21,22110.539063,22306.830078,22053.140625,22219.730469,22219.730469,54500
2018-08-22,22270.039063,22390.199219,22162.810547,22362.550781,22362.550781,57100
2018-08-23,22420.669922,22463.029297,22377.880859,22410.820313,22410.820313,50100
2018-08-24,22484.009766,22602.240234,22452.419922,22601.769531,22601.769531,50400
2018-08-27,22693.689453,22838.060547,22682.390625,22799.640625,22799.640625,50200
2018-08-28,22967.740234,23006.769531,22813.470703,22813.470703,22813.470703,60700
2018-08-29,22820.859375,22968.179688,22819.970703,22848.220703,22848.220703,58800
2018-08-30,23020.179688,23032.169922,22832.830078,22869.500000,22869.500000,73900
2018-08-31,22733.250000,22890.609375,22678.029297,22865.150391,22865.150391,68100
2018-09-03,22819.169922,22820.480469,22684.429688,22707.380859,22707.380859,49900
2018-09-04,22740.050781,22753.179688,22612.150391,22696.900391,22696.900391,52300
2018-09-05,22663.800781,22692.250000,22570.519531,22580.830078,22580.830078,65400
2018-09-06,22458.970703,22535.339844,22416.630859,22487.939453,22487.939453,62200
2018-09-07,22351.839844,22372.890625,22172.900391,22307.060547,22307.060547,69800
